iter	Passed	Remaining
416	2776	1884
417	2784	1878
418	2790	1871
419	2796	1864
420	2802	1857
421	2807	1849
422	2813	1842
423	2819	1835
424	2825	1828
425	2831	1820
426	2836	1813
427	2842	1806
428	2848	1799
429	2854	1792
430	2860	1785
431	2867	1779
432	2874	1772
433	2882	1766
434	2888	1759
435	2894	1752
436	2901	1746
437	2909	1740
438	2917	1734
439	2924	1728
440	2931	1721
441	2938	1715
442	2946	1709
443	2953	1702
444	2960	1696
445	2967	1689
446	2973	1682
447	2979	1676
448	2986	1669
449	2991	1662
450	2997	1654
451	3003	1647
452	3008	1640
453	3014	1633
454	3020	1626
455	3026	1619
456	3032	1612
457	3039	1605
458	3045	1598
459	3051	1592
460	3058	1585
461	3064	1578
462	3072	1572
463	3079	1566
464	3086	1559
465	3094	1553
466	3102	1547
467	3110	1541
468	3117	1535
469	3124	1528
470	3131	1522
471	3137	1515
472	3143	1508
473	3149	1501
474	3157	1495
475	3166	1489
476	3174	1484
477	3180	1477
478	3187	1470
479	3194	1464
480	3200	1457
481	3206	1450
482	3213	1443
483	3219	1436
484	3227	1430
485	3235	1424
486	3242	1418
487	3249	1411
488	3258	1405
489	3265	1399
490	3272	1393
491	3279	1386
492	3286	1380
493	3294	1373
494	3302	1367
495	3309	1361
496	3317	1354
497	3323	1348
498	3331	1341
499	3339	1335
500	3346	1329
501	3354	1322
502	3360	1316
503	3367	1309
504	3373	1302
505	3381	1296
506	3387	1289
507	3394	1283
508	3401	1276
509	3407	1269
510	3413	1262
511	3419	1255
512	3426	1249
513	3433	1242
514	3441	1236
515	3448	1229
516	3454	1222
517	3461	1216
518	3469	1209
519	3475	1203
520	3482	1196
521	3489	1189
522	3496	1183
523	3504	1176
524	3511	1170
525	3517	1163
526	3524	1156
527	3531	1150
528	3538	1143
529	3546	1137
530	3554	1131
531	3561	1124
532	3568	1118
533	3575	1111
534	3581	1104
535	3588	1097
536	3593	1090
537	3600	1084
538	3607	1077
539	3614	1070
540	3620	1064
541	3625	1057
542	3631	1050
543	3637	1043
544	3643	1036
545	3649	1029
546	3655	1022
547	3661	1015
548	3666	1008
549	3672	1001
550	3679	994
551	3685	988
552	3690	981
553	3696	974
554	3702	967
555	3708	960
556	3714	953
557	3719	946
558	3725	939
559	3731	932
560	3736	925
561	3743	919
562	3750	912
563	3756	905
564	3761	898
565	3767	891
566	3772	884
567	3777	877
568	3783	871
569	3790	864
570	3797	858
571	3804	851
572	3809	844
573	3815	837
574	3820	830
575	3825	823
576	3831	816
577	3836	809
578	3841	802
579	3847	796
580	3852	789
581	3859	782
582	3864	775
583	3868	768
584	3873	761
585	3879	754
586	3884	747
587	3890	741
588	3896	734
589	3902	727
590	3907	720
591	3913	713
592	3919	707
593	3925	700
594	3931	693
595	3937	687
596	3943	680
597	3949	673
598	3954	666
599	3960	660
600	3967	653
601	3974	646
602	3979	640
603	3985	633
604	3992	626
605	3998	620
606	4004	613
607	4011	606
608	4017	600
609	4025	593
610	4030	587
611	4037	580
612	4044	574
613	4053	567
614	4061	561
615	4066	554
616	4072	547
617	4078	541
618	4084	534
619	4091	527
620	4097	521
621	4103	514
622	4109	507
623	4115	501
624	4121	494
625	4126	487
626	4131	481
627	4137	474
628	4142	467
629	4146	460
630	4152	454
631	4157	447
632	4162	440
633	4168	433
634	4173	427
635	4179	420
636	4185	413
637	4190	407
638	4196	400
639	4201	393
640	4206	387
641	4212	380
