iter	RMSE
0	0.3842218753
1	0.3720770703
2	0.3599592834
3	0.348405179
4	0.3372811903
5	0.3269437372
6	0.3173749693
7	0.3078673896
8	0.2995853482
9	0.2913565735
10	0.2830608675
11	0.2748943898
12	0.2677553807
13	0.2610988858
14	0.2540611142
15	0.2481919984
16	0.2427745501
17	0.2369312313
18	0.2318696185
19	0.2266725303
20	0.221803156
21	0.2167678061
22	0.2121097917
23	0.2079887362
24	0.2036903215
25	0.1993638773
26	0.1957569877
27	0.1918777399
28	0.1887028652
29	0.1850594505
30	0.182017553
31	0.1787305425
32	0.1759729918
33	0.1729997984
34	0.1700726935
35	0.1674690412
36	0.1653765955
37	0.1629976631
38	0.160614915
39	0.1585695787
40	0.1565794463
41	0.154737372
42	0.1529628041
43	0.1510670131
44	0.1492647131
45	0.1477721623
46	0.1462686279
47	0.1445171288
48	0.1429960937
49	0.141466722
50	0.1402087291
51	0.138964904
52	0.1376446039
53	0.1365323209
54	0.1353531788
55	0.1343892265
56	0.1334072463
57	0.1324502152
58	0.1313845636
59	0.1304322342
60	0.1293998491
61	0.1286650654
62	0.1276203908
63	0.1269815188
64	0.1261968641
65	0.1252072919
66	0.1245521573
67	0.1238280433
68	0.123039086
69	0.12239466
70	0.1217321722
71	0.1210637054
72	0.1203729152
73	0.1197614569
74	0.1192390663
75	0.1185993473
76	0.1180352558
77	0.1175022599
78	0.1168711985
79	0.1163139932
80	0.1156598112
81	0.1152002449
82	0.1147468876
83	0.11421496
84	0.1137657355
85	0.1131646245
86	0.1126849392
87	0.1123460347
88	0.1119842816
89	0.11153085
90	0.1111222031
91	0.1105861266
92	0.1101143936
93	0.1098338188
94	0.1094338105
95	0.1090521122
96	0.1085851747
97	0.1082791763
98	0.1079363073
99	0.1074547214
100	0.1071385576
101	0.1067907559
102	0.1063617873
103	0.1060267732
104	0.1057279706
105	0.1053988423
106	0.1049951264
107	0.104788994
108	0.1044831084
109	0.104198515
110	0.1038614811
111	0.1036271993
112	0.103206196
113	0.1029503423
114	0.1026330064
115	0.1023683603
116	0.1020469887
117	0.1017790802
118	0.1015439559
119	0.1012819165
120	0.1009034472
121	0.1007133341
122	0.1005259872
123	0.100152944
124	0.09981636263
125	0.09949785993
126	0.09916216898
127	0.09898187716
128	0.09874298166
129	0.0985084625
130	0.0981003766
131	0.09787979388
132	0.09750491773
133	0.09724435495
134	0.09703151787
135	0.09667671029
136	0.0964596559
137	0.09622085938
138	0.09593146833
139	0.09558975032
140	0.0953574888
141	0.09512310634
142	0.09485767643
143	0.09458841279
144	0.09426260943
145	0.09393469164
146	0.09383349429
147	0.09355790511
148	0.09325893758
149	0.09301008959
150	0.0928218917
151	0.09257656237
152	0.09239165122
153	0.09216653008
154	0.09188954892
155	0.09164998369
156	0.09145032352
157	0.09136328207
158	0.09113172318
159	0.09090133207
160	0.09067896272
161	0.09044833835
162	0.09028824646
163	0.09011370479
164	0.0899029627
165	0.0896355237
166	0.0894405176
167	0.0892589123
168	0.089098834
169	0.08891194423
170	0.08876861119
171	0.08864491948
172	0.08859141734
173	0.0883741696
174	0.08826142144
175	0.08801800532
176	0.08782155283
177	0.08770557079
178	0.08762075302
179	0.08744149786
180	0.08724272322
181	0.08700971359
182	0.086951657
183	0.08678061034
184	0.08660031468
185	0.08637769858
186	0.08621373367
187	0.0859782906
188	0.08592630937
189	0.08582661642
190	0.08562562996
191	0.08545206609
192	0.08523364021
193	0.08496410833
194	0.08476063171
195	0.0845761058
196	0.08450371133
197	0.08434890266
198	0.08426723056
199	0.08410095079
200	0.08391992526
201	0.08375605153
202	0.08368880802
203	0.08359057694
